OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Rochester Percentage,Murphy Percentage
307,23,2263,23-07,3549240.94576195,9568.72065130604,1491,1082,45,148,60.46,37.79
308,23,2699,23-08,1615438.53345882,6546.07324100461,341,244,38,46,74.11,24.87
309,23,1879,23-09,36099732.3176515,32525.1119276128,1672,1362,16,162,59.17,38.86
310,23,1174,23-10,3356439.83770289,8341.94937095413,247,167,21,21,74.7,22.89
311,23,2008,23-11,4656388.99404265,9995.17463963091,1815,1332,23,231,53.35,45.12
312,23,894,23-12,4478913.74918469,9458.4780797642,797,591,1,77,51.79,47.26
313,24,2110,24-01,4821098.40164529,11201.970355046,1351,805,225,100,58.32,38.46
314,24,3227,24-02,4307919.22313814,10513.7810178004,2155,1139,463,143,68.46,29.4
315,24,1772,24-03,1917805.03602894,7373.2112435842,1354,746,279,100,58.7,38.91
316,24,1720,24-04,2103714.25635847,7045.73532920228,1045,385,363,80,72.88,24.51
317,24,3430,24-05,4391216.79575149,10757.5743674495,2086,1127,461,143,63.08,35.2
318,24,1129,24-06,3877698.08584541,12312.137875087,924,710,49,82,57.63,39.23
319,24,2393,24-07,1081876.07990006,6149.607715631921,1490,636,507,81,72.24,26.48
