geoid20,total_reg,eth1_aa,eth1_eur,g20201103_voted_all,g20201103_pct_voted_all
100050517021044,4,0,4,3,1.0
100050517021043,8,0,8,7,0.875
100050517021042,0,0,0,0,
100050517021041,17,0,16,8,0.5714
100050517021040,13,1,12,5,0.4166999999999999
100050517021039,0,0,0,0,
100050517021038,3,0,3,2,0.6666999999999998
100050517021037,2,0,2,2,1.0
100050517021036,26,2,23,13,0.5908999999999999
100050517021035,0,0,0,0,
100050517021034,3,0,3,2,0.6666999999999998
100050517021033,3,0,3,3,1.0
100050517021032,3,0,2,2,0.6666999999999998
100050517021031,0,0,0,0,
100050517021030,2,0,2,2,1.0
100050517021029,6,0,5,3,0.5
100050517021028,7,0,7,3,0.4285999999999999
100050517021027,6,0,6,4,0.6666999999999998
100050517021026,0,0,0,0,
100050517021025,6,0,6,5,0.8333
100050517021024,4,0,4,4,1.0
100050517021023,22,0,18,19,0.8635999999999999
100050517021022,12,0,6,2,0.1666999999999999
100050517021021,2,0,2,2,1.0
100050517021020,0,0,0,0,
100050517021019,27,0,26,18,0.7199999999999999
100050517021018,9,1,3,6,0.75
